"symbol","markPrice","indexPrice","estimatedSettlePrice","lastFundingRate","nextFundingTime","interestRate","time"
"LTCUSDT","89.76342715","89.80534378","89.21042316","0.00002535",1686096000000,"0.00010000",1686073320010
"SUIUSDT","0.82130000","0.82130217","0.81820318","0.00006708",1686096000000,"0.00010000",1686073320010
"SUSHIUSDT","0.76381155","0.76465471","0.75782053","-0.00016831",1686096000000,"0.00010000",1686073320010
"HOTUSDT","0.00151989","0.00152075","0.00150818","0.00010000",1686096000000,"0.00010000",1686073320010
"ARBUSDT","1.18030000","1.18089325","1.17697521","-0.00001381",1686096000000,"0.00010000",1686073320010
"TRXBUSD","0.07786716","0.07786147","0.07778243","0.00010000",1686096000000,"0.00010000",1686073320010
"CHRUSDT","0.14087507","0.14098848","0.14018972","0.00010000",1686096000000,"0.00010000",1686073320010
"ETCUSDT","17.38459395","17.39252435","17.30472173","0.00010000",1686096000000,"0.00010000",1686073320010
"APEBUSD","3.18292575","3.18872883","0","0.00010000",1686096000000,"0.00010000",1686073320010
"ETHBTC","0.07038760","0.07033391","0.07054830","0",1686096000000,"0",1686073320010
"LQTYUSDT","1.08877379","1.08943502","1.08190449","0.00010000",1686096000000,"0.00010000",1686073320010
"LINAUSDT","0.01497424","0.01500719","0.01459496","0.00010000",1686096000000,"0.00010000",1686073320010
"ROSEUSDT","0.05487000","0.05492417","0.05458393","-0.00001794",1686096000000,"0.00010000",1686073320010
"XRPBUSD","0.51518257","0.51548797","0.51370709","0.00007239",1686096000000,"0.00010000",1686073320010
"JOEUSDT","0.43417087","0.43413668","0.42834827","0.00010000",1686096000000,"0.00010000",1686073320010
"BCHUSDT","110.80630234","110.89122156","110.44915505","0.00003785",1686096000000,"0.00010000",1686073320010
"BNBBUSD","283.08311097","283.08311097","281.60789492","0",1686096000000,"0",1686073320010
"ADAUSDT","0.35504655","0.35514067","0.35225843","0.00008528",1686096000000,"0.00010000",1686073320010
"SKLUSDT","0.03109408","0.03111029","0.03088975","-0.00004200",1686096000000,"0.00010000",1686073320010
"GTCUSDT","1.19873903","1.19864463","1.18896481","0.00006688",1686096000000,"0.00010000",1686073320010
"BNXUSDT","0.44127521","0.44124046","0.43913074","0.00010000",1686096000000,"0.00010000",1686073320010
"ZENUSDT","7.47968477","7.48260294","7.43663766","0.00010000",1686096000000,"0.00010000",1686073320010
"AGIXUSDT","0.27021115","0.27040963","0.26748000","0.00002332",1686096000000,"0.00010000",1686073320010
"API3USDT","1.20013193","1.20028519","1.18948046","0.00010000",1686096000000,"0.00010000",1686073320010
"EGLDUSDT","36.55865188","36.58666296","36.45550397","0.00010000",1686096000000,"0.00010000",1686073320010
"C98USDT","0.18176669","0.18180233","0.18063240","0.00010000",1686096000000,"0.00010000",1686073320010
"JASMYUSDT","0.00450232","0.00450463","0.00447742","0.00007063",1686096000000,"0.00010000",1686073320010
"AAVEUSDT","61.96770292","61.96282335","61.43423281","0.00010000",1686096000000,"0.00010000",1686073320010
"ENSUSDT","9.49815119","9.49871488","9.42570630","0.00010000",1686096000000,"0.00010000",1686073320010
"GMTBUSD","0.24107183","0.24239567","0","0.00010000",1686096000000,"0.00010000",1686073320010
"1000SHIBUSDT","0.00815436","0.00815651","0.00811209","0.00010000",1686096000000,"0.00010000",1686073320010
"1000LUNCUSDT","0.10086217","0.10086808","0.09607546","0.00005014",1686096000000,"0.00010000",1686073320010
"ICXUSDT","0.22550000","0.22544049","0.22385402","0.00010000",1686096000000,"0.00010000",1686073320010
"TUSDT","0.02326723","0.02326540","0.02311628","0.00010000",1686096000000,"0.00010000",1686073320010
"KSMUSDT","26.46046478","26.47479382","26.34524897","0.00005009",1686096000000,"0.00010000",1686073320010
"IOSTUSDT","0.00886500","0.00886978","0.00882217","0.00009730",1686096000000,"0.00010000",1686073321000
"LUNA2USDT","0.80690274","0.80719428","0.79389822","0.00010000",1686096000000,"0.00010000",1686073321000
"MTLUSDT","1.56730000","1.57363132","1.57280583","-0.00210820",1686096000000,"0.00010000",1686073321000
"IDEXUSDT","0.06962146","0.06970170","0.06928573","0.00010000",1686096000000,"0.00010000",1686073321000
"ADABUSD","0.35506855","0.35527831","0.35245119","-0.00000359",1686096000000,"0.00010000",1686073321000
"FTMUSDT","0.30440000","0.30454284","0.30222800","0.00010000",1686096000000,"0.00010000",1686073321000
"VETUSDT","0.01878357","0.01880129","0.01865555","0.00010000",1686096000000,"0.00010000",1686073321000
"UMAUSDT","1.78200000","1.78271496","1.77718968","0.00010000",1686096000000,"0.00010000",1686073321000
"FILUSDT","4.35396070","4.35615614","4.33101208","0.00004319",1686096000000,"0.00010000",1686073321000
"FLOWUSDT","0.67031203","0.67071798","0.66359585","0.00010000",1686096000000,"0.00010000",1686073321000
"WAVESUSDT","1.61753693","1.61789792","1.60555085","0.00010000",1686096000000,"0.00010000",1686073321000
"ANTUSDT","3.43724165","3.43801684","3.41888688","0.00003392",1686096000000,"0.00010000",1686073321000
"FXSUSDT","6.32099045","6.32526687","6.28748977","0.00010000",1686096000000,"0.00010000",1686073321000
"BTCBUSD","26710.10000000","26719.13969869","26436.34738589","0.00010000",1686096000000,"0.00010000",1686073321000
