"symbol","markPrice","indexPrice","estimatedSettlePrice","lastFundingRate","nextFundingTime","interestRate","time"
"SUSHIUSDT","0.72040000","0.72056080","0.72347020","0.00004464",1686211200000,"0.00010000",1686195720007
"ARBUSDT","1.10720000","1.10776139","1.11976191","-0.00003058",1686211200000,"0.00010000",1686195720007
"SUIUSDT","0.76364395","0.76360291","0.76851736","0.00010000",1686211200000,"0.00010000",1686195720007
"TRXBUSD","0.07620082","0.07626580","0.07645637","0.00001803",1686211200000,"0.00010000",1686195720007
"ETCUSDT","16.83200000","16.83343350","16.89591515","0.00000624",1686211200000,"0.00010000",1686195720007
"CHRUSDT","0.13829874","0.13829131","0.13878028","0.00010000",1686211200000,"0.00010000",1686195720007
"LTCUSDT","87.96000000","87.99779757","88.56298158","0.00001838",1686211200000,"0.00010000",1686195720007
"HOTUSDT","0.00141096","0.00141088","0.00141900","0.00010000",1686211200000,"0.00010000",1686195720007
"APEBUSD","2.88255297","2.86876451","0","0.00010000",1686211200000,"0.00010000",1686195720007
"ETHBTC","0.06979379","0.06975287","0.06965201","0",1686211200000,"0",1686195720007
"LQTYUSDT","0.99500000","0.99498858","1.00731170","0.00010000",1686211200000,"0.00010000",1686195720007
"LINAUSDT","0.01245989","0.01245922","0.01249180","0.00010000",1686211200000,"0.00010000",1686195720007
"ROSEUSDT","0.04833597","0.04835189","0.04839859","0.00007789",1686211200000,"0.00010000",1686195720007
"XRPBUSD","0.51862720","0.51895680","0.51932183","0.00010000",1686211200000,"0.00010000",1686195720007
"BCHUSDT","110.73498712","110.73132264","111.07248782","-0.00006227",1686211200000,"0.00010000",1686195720007
"JOEUSDT","0.40450000","0.40455720","0.40720134","0.00000036",1686211200000,"0.00010000",1686195720007
"BNBBUSD","257.77787836","257.77787836","259.56235054","0",1686211200000,"0",1686195720007
"ADAUSDT","0.32168558","0.32181521","0.32392842","0.00010000",1686211200000,"0.00010000",1686195720007
"SKLUSDT","0.02929294","0.02929136","0.02953791","-0.00009655",1686211200000,"0.00010000",1686195720007
"GTCUSDT","1.11779621","1.11773614","1.13001357","0.00010000",1686211200000,"0.00010000",1686195720007
"BNXUSDT","0.40170000","0.40171181","0.40224024","0.00010000",1686211200000,"0.00010000",1686195720007
"ZENUSDT","7.05447106","7.05400857","7.09176141","0.00010000",1686211200000,"0.00010000",1686195720007
"AGIXUSDT","0.24608155","0.24606832","0.24835817","0.00010000",1686211200000,"0.00010000",1686195720007
"EGLDUSDT","34.48232697","34.50674876","34.70332470","0.00010000",1686211200000,"0.00010000",1686195720007
"API3USDT","1.10353095","1.10347164","1.11449514","0.00002568",1686211200000,"0.00010000",1686195720007
"C98USDT","0.16259720","0.16258846","0.16373806","0.00010000",1686211200000,"0.00010000",1686195720007
"JASMYUSDT","0.00399500","0.00399589","0.00406171","0.00010000",1686211200000,"0.00010000",1686195721012
"AAVEUSDT","58.49000000","58.51116758","58.79052122","0.00010000",1686211200000,"0.00010000",1686195721012
"GMTBUSD","0.22842697","0.22567977","0","0.00010000",1686211200000,"0.00010000",1686195721012
"ENSUSDT","8.92736053","8.92688074","8.97143219","0.00010000",1686211200000,"0.00010000",1686195721012
"1000LUNCUSDT","0.09312641","0.09312152","0.09260508","0.00008321",1686211200000,"0.00010000",1686195721012
"1000SHIBUSDT","0.00783965","0.00784033","0.00785567","0.00010000",1686211200000,"0.00010000",1686195721012
"ICXUSDT","0.21431428","0.21438091","0.21591197","0.00010000",1686211200000,"0.00010000",1686195721012
"TUSDT","0.02192144","0.02193396","0.02210327","0.00010000",1686211200000,"0.00010000",1686195721012
"KSMUSDT","25.73000000","25.74482303","25.91085687","0.00010000",1686211200000,"0.00010000",1686195721012
"IOSTUSDT","0.00844272","0.00844226","0.00849268","0.00010000",1686211200000,"0.00010000",1686195721012
"LUNA2USDT","0.74082942","0.74101256","0.74240948","0.00010000",1686211200000,"0.00010000",1686195721012
"MTLUSDT","1.17630000","1.17711979","1.18714424","-0.00428725",1686196800000,"0.00005000",1686195721012
"IDEXUSDT","0.06405026","0.06406417","0.06487366","0.00010000",1686211200000,"0.00010000",1686195721012
"ADABUSD","0.32182307","0.32198657","0.32407245","0.00010000",1686211200000,"0.00010000",1686195721012
"FTMUSDT","0.28730000","0.28733694","0.28858070","0.00010000",1686211200000,"0.00010000",1686195721012
"VETUSDT","0.01747157","0.01748781","0.01758344","0.00010000",1686211200000,"0.00010000",1686195721012
"UMAUSDT","1.79200000","1.79565053","1.81563945","-0.00008442",1686211200000,"0.00010000",1686195721012
"FILUSDT","4.11887976","4.12094385","4.13371398","0.00002590",1686211200000,"0.00010000",1686195721012
"FLOWUSDT","0.61300000","0.61300739","0.61984009","0.00010000",1686211200000,"0.00010000",1686195721012
"WAVESUSDT","1.53910000","1.53904076","1.55295493","0.00010000",1686211200000,"0.00010000",1686195721012
"ANTUSDT","3.26400000","3.26424635","3.27221413","-0.00002738",1686211200000,"0.00010000",1686195721012
"FXSUSDT","6.07006721","6.07250935","6.07655581","-0.00001758",1686211200000,"0.00010000",1686195721012
"BTCBUSD","26266.70000000","26279.85692929","26355.69624093","0.00010000",1686211200000,"0.00010000",1686195721012
"AUDIOUSDT","0.19630219","0.19634416","0.19764438","0.00004922",1686211200000,"0.00010000",1686195721012
"RVNUSDT","0.01828762","0.01829897","0.01841398","-0.00001801",1686211200000,"0.00010000",1686195721012
"ICPUSDT","4.14900000","4.15090882","4.16704776","0.00009031",1686211200000,"0.00010000",1686195721012
"PHBBUSD","0.71198597","0.70626412","0","0.00010000",1686211200000,"0.00010000",1686195721012
"SNXUSDT","2.08200000","2.08333940","2.09388592","0.00009007",1686211200000,"0.00010000",1686195721012
"RADUSDT","1.92285372","1.92470979","2.00106539","0.00010000",1686211200000,"0.00010000",1686195721012
"EOSUSDT","0.87900000","0.87901520","0.88068021","0.00010000",1686211200000,"0.00010000",1686195721012
"NEOUSDT","8.80151789","8.80701769","8.89268156","0.00004891",1686211200000,"0.00010000",1686195721012
"TLMUSDT","0.01237339","0.01237407","0.01249655","0.00010000",1686211200000,"0.00010000",1686195721012
"GMXUSDT","50.28000000","50.29809571","50.46243734","0.00010000",1686211200000,"0.00010000",1686195721012
"BLUEBIRDUSDT","7.00151703","7.00114075","7.04267200","0.00010000",1686211200000,"0.00010000",1686195721012
"RDNTUSDT","0.29290000","0.29297164","0.29452099","-0.00003794",1686211200000,"0.00010000",1686195721012
"HFTUSDT","0.39044423","0.39061929","0.39327145","0.00010000",1686211200000,"0.00010000",1686195721012
"NKNUSDT","0.10649807","0.10647579","0.10706929","0.00010000",1686211200000,"0.00010000",1686195721012
"OPUSDT","1.35770000","1.35782702","1.36873824","0.00010000",1686211200000,"0.00010000",1686195721012
"BLURUSDT","0.41586521","0.41589751","0.41957406","-0.00002063",1686211200000,"0.00010000",1686195721012
"REEFUSDT","0.00179900","0.00179953","0.00181152","0.00010000",1686211200000,"0.00010000",1686195721012
"WOOUSDT","0.21027351","0.21026791","0.21114917","0.00009762",1686211200000,"0.00010000",1686195721012
"APEUSDT","2.86535941","2.86770491","2.88123062","-0.00017636",1686211200000,"0.00010000",1686195721012
"DYDXUSDT","1.95500000","1.95514646","1.96086749","0.00004844",1686211200000,"0.00010000",1686195721012
"LRCUSDT","0.24050000","0.24054893","0.24230917","0.00010000",1686211200000,"0.00010000",1686195721012
"GALAUSDT","0.02578000","0.02579077","0.02591106","-0.00005096",1686211200000,"0.00010000",1686195721012
"BELUSDT","0.64334593","0.64352069","0.64703655","-0.00001238",1686211200000,"0.00010000",1686195721012
"CTKUSDT","0.67371006","0.67400000","0.67479427","0.00009005",1686211200000,"0.00010000",1686195721012
"ENJUSDT","0.29295606","0.29308716","0.29647150","0.00008633",1686211200000,"0.00010000",1686195721012
"RENUSDT","0.08130000","0.08130198","0.08268777","-0.00007696",1686211200000,"0.00010000",1686195721012
"IMXUSDT","0.68950940","0.68950510","0.69163601","-0.00002534",1686211200000,"0.00010000",1686195721012
"MANAUSDT","0.41006156","0.41003952","0.41371628","0.00010000",1686211200000,"0.00010000",1686195721012
"MATICBUSD","0.75773553","0.75810851","0.76244103","0.00010000",1686211200000,"0.00010000",1686195721012
"NEARBUSD","1.40010295","1.39306767","0","0.00010000",1686211200000,"0.00010000",1686195721012
"DEFIUSDT","459.45591783","459.43122500","462.50923479","0.00010000",1686211200000,"0.00010000",1686195721012
"RUNEUSDT","1.06400000","1.06439225","1.06973745","0.00010000",1686211200000,"0.00010000",1686195721012
"BNBUSDT","257.60268026","257.60268026","259.42911628","0",1686211200000,"0",1686195722000
"BANDUSDT","1.19984049","1.19928994","1.19826038","0.00007410",1686211200000,"0.00010000",1686195722000
"HOOKUSDT","1.18879935","1.18873546","1.19903377","0.00010000",1686211200000,"0.00010000",1686195722000
"COMBOUSDT","1.14838767","1.14793449","1.15978391","0.00010000",1686211200000,"0.00010000",1686195722000
"AVAXUSDT","13.84900000","13.85281343","13.93681195","0.00010000",1686211200000,"0.00010000",1686195722000
"INJUSDT","6.66300000","6.66468070","6.71330636","0.00007129",1686211200000,"0.00010000",1686195722000
"CRVUSDT","0.74929393","0.74996398","0.75193524","0.00010000",1686211200000,"0.00010000",1686195722000
"EDUUSDT","0.91546546","0.91561627","0.92124813","0.00009709",1686211200000,"0.00010000",1686195722000
"SANDBUSD","0.48325023","0.47972062","0","0.00010000",1686211200000,"0.00010000",1686195722000
"DARUSDT","0.10892758","0.10897367","0.10957823","0.00010000",1686211200000,"0.00010000",1686195722000
"XLMUSDT","0.08681000","0.08684586","0.08690350","0.00007590",1686211200000,"0.00010000",1686195722000
"ZILUSDT","0.02079000","0.02078942","0.02084324","0.00010000",1686211200000,"0.00010000",1686195722000
"GRTUSDT","0.11119000","0.11125654","0.11158770","0.00010000",1686211200000,"0.00010000",1686195722000
"ALICEUSDT","1.07418140","1.07412367","1.08499054","0.00010000",1686211200000,"0.00010000",1686195722000
"IOTAUSDT","0.17750000","0.17755304","0.17886028","0.00010000",1686211200000,"0.00010000",1686195722000
"BTCUSDT_230630","26346.46321111","26268.52577778","26344.12464012","0",0,"0",1686195722000
"SANDUSDT","0.47950000","0.47960367","0.48305616","0.00009650",1686211200000,"0.00010000",1686195722000
"KAVAUSDT","0.93360000","0.93527042","0.94661459","-0.00069170",1686211200000,"0.00010000",1686195722000
"1000LUNCBUSD","0.09308537","0.09317184","0.09264696","0.00010000",1686211200000,"0.00010000",1686195722000
"MKRUSDT","618.44059577","618.59194562","621.08551563","0.00010000",1686211200000,"0.00010000",1686195722000
"LINKUSDT","5.89700000","5.89938172","5.92826014","-0.00001120",1686211200000,"0.00010000",1686195722000
"ONEUSDT","0.01245000","0.01245292","0.01253857","0.00010000",1686211200000,"0.00010000",1686195722000
"NEARUSDT","1.39200000","1.39273745","1.39938611","0.00010000",1686211200000,"0.00010000",1686195722000
"QNTUSDT","110.64704066","110.64109447","110.57477126","0.00010000",1686211200000,"0.00010000",1686195722000
"XEMUSDT","0.02845185","0.02849796","0.02876670","0.00010000",1686211200000,"0.00010000",1686195722000
"XVSUSDT","3.96769241","3.96921160","3.99103411","-0.00001567",1686211200000,"0.00010000",1686195722000
"GALUSDT","1.10080000","1.10141967","1.10608819","0.00010000",1686211200000,"0.00010000",1686195722000
"YFIUSDT","5959.98489282","5959.66460223","5995.28600485","0.00010000",1686211200000,"0.00010000",1686195722000
"AMBUSDT","0.00935000","0.00935565","0.00937191","0.00010000",1686211200000,"0.00010000",1686195722000
"KLAYUSDT","0.16500000","0.16505010","0.16597250","-0.00014866",1686211200000,"0.00010000",1686195722000
"SFPUSDT","0.37180000","0.37183221","0.37305187","0.00010000",1686211200000,"0.00010000",1686195722000
"COTIUSDT","0.05277844","0.05276784","0.05327073","0.00001642",1686211200000,"0.00010000",1686195722000
"ANKRUSDT","0.02308000","0.02309148","0.02325252","0.00007089",1686211200000,"0.00010000",1686195722000
"FOOTBALLUSDT","425.62266688","425.59979384","429.12588166","0.00010000",1686211200000,"0.00010000",1686195722000
"DGBUSDT","0.00710164","0.00710126","0.00714704","0.00010000",1686211200000,"0.00010000",1686195722000
"DOTUSDT","4.99500000","4.99608080","5.01469030","0.00001694",1686211200000,"0.00010000",1686195722000
"LPTUSDT","4.67200000","4.67312686","4.69759430","-0.00017560",1686211200000,"0.00010000",1686195722000
"BAKEUSDT","0.11118694","0.11118097","0.11193226","0.00010000",1686211200000,"0.00010000",1686195722000
"LITUSDT","0.74787478","0.74783459","0.75538648","0.00003978",1686211200000,"0.00010000",1686195722000
"SOLBUSD","18.39589218","18.40664370","18.60329070","0.00000837",1686211200000,"0.00010000",1686195722000
"LINKBUSD","5.93080185","5.90208251","0","0.00010000",1686211200000,"0.00010000",1686195722000
"XTZUSDT","0.83567755","0.83666642","0.84029804","0.00010000",1686211200000,"0.00010000",1686195722000
"DODOBUSD","0.10900554","0.10891386","0.10961825","0.00010000",1686211200000,"0.00010000",1686195722000
"PEOPLEUSDT","0.01546789","0.01546706","0.01553211","0.00010000",1686211200000,"0.00010000",1686195722000
"AXSUSDT","6.16900000","6.17946366","6.20967181","-0.00077238",1686211200000,"0.00010000",1686195722000
"LTCBUSD","88.02000000","88.03857851","88.60220363","0.00010000",1686211200000,"0.00010000",1686195722000
"BLZUSDT","0.05718000","0.05719084","0.05771107","-0.00016688",1686211200000,"0.00010000",1686195722000
"TRUUSDT","0.03960213","0.03960000","0.03967630","0.00010000",1686211200000,"0.00010000",1686195722000
"DASHUSDT","37.56000000","37.57646844","38.01036930","0.00010000",1686211200000,"0.00010000",1686195722000
"BTCDOMUSDT","1626.75110848","1627.40882000","1626.98308398","0.00010000",1686211200000,"0.00010000",1686195723000
"STGUSDT","0.60400000","0.60424759","0.60449780","-0.00004820",1686211200000,"0.00010000",1686195723000
"KEYUSDT","0.00594495","0.00594490","0.00603911","0.00010000",1686211200000,"0.00010000",1686195723000
"UNFIUSDT","3.94224274","3.94203089","3.96318831","0.00010000",1686211200000,"0.00010000",1686195723000
"FILBUSD","4.13538417","4.12345935","0","0.00010000",1686211200000,"0.00010000",1686195723000
"BTCUSDT","26257.50000000","26268.21022222","26344.08208728","0.00003446",1686211200000,"0.00010000",1686195723000
"COCOSUSDT","1.75460000","1.75460000","0","0.00010000",1686211200000,"0.00010000",1686195723000
"FETUSDT","0.22317686","0.22316486","0.22452982","0.00010000",1686211200000,"0.00010000",1686195723000
"RSRUSDT","0.00233569","0.00233556","0.00234807","0.00010000",1686211200000,"0.00010000",1686195723000
"AGIXBUSD","0.24626965","0.24623418","0.24842227","0.00010000",1686211200000,"0.00010000",1686195723000
"ETCBUSD","16.90381494","16.84281810","0","0.00010000",1686211200000,"0.00010000",1686195723000
"SSVUSDT","19.78006541","19.78552414","19.91580313","0.00010000",1686211200000,"0.00010000",1686195723000
"APTUSDT","7.59700000","7.59739579","7.66244418","-0.00004654",1686211200000,"0.00010000",1686195723000
"ONTUSDT","0.19083645","0.19095862","0.19297979","0.00010000",1686211200000,"0.00010000",1686195723000
"OMGUSDT","0.64691460","0.64688683","0.65064643","0.00001576",1686211200000,"0.00010000",1686195723000
"1000XECUSDT","0.02230358","0.02231167","0.02245157","0.00010000",1686211200000,"0.00010000",1686195723000
"GMTUSDT","0.22545051","0.22556892","0.22830500","0.00010000",1686211200000,"0.00010000",1686195723000
"CVXUSDT","3.83566731","3.83726923","3.85185804","0.00010000",1686211200000,"0.00010000",1686195723000
"TRXUSDT","0.07620000","0.07622796","0.07642281","-0.00004393",1686211200000,"0.00010000",1686195723000
"RLCUSDT","1.32399463","1.32391052","1.33281023","0.00010000",1686211200000,"0.00010000",1686195723000
"ZRXUSDT","0.19742751","0.19755970","0.19894172","0.00002219",1686211200000,"0.00010000",1686195723000
"FTMBUSD","0.28740621","0.28755995","0.28869529","0.00010000",1686211200000,"0.00010000",1686195723000
"1000SHIBBUSD","0.00785920","0.00784425","0","0.00010000",1686211200000,"0.00010000",1686195723000
"CELRUSDT","0.01609176","0.01609536","0.01623709","0.00010000",1686211200000,"0.00010000",1686195723000
"DOGEUSDT","0.06719000","0.06719537","0.06742980","0.00000994",1686211200000,"0.00010000",1686195723000
"APTBUSD","7.60000000","7.60007316","7.66593624","0.00005319",1686211200000,"0.00010000",1686195723000
"ASTRUSDT","0.04129000","0.04130174","0.04154919","-0.00002365",1686211200000,"0.00010000",1686195723000
"CHZUSDT","0.08559466","0.08559006","0.08572844","0.00010000",1686211200000,"0.00010000",1686195723000
"MATICUSDT","0.75730000","0.75755191","0.76209219","0.00010000",1686211200000,"0.00010000",1686195723000
"THETAUSDT","0.74448023","0.74444022","0.74856173","0.00010000",1686211200000,"0.00010000",1686195723000
"XMRUSDT","143.73000000","143.78803951","144.11455297","0.00010000",1686211200000,"0.00010000",1686195723000
